municipio,count
7107,5496331
6001,2331080
9701,1395717
0255,1249418
4123,1104842
7535,1054291
9373,909105
1389,831853
3849,741926
8801,700251
2531,543079
0921,509875
9051,499981
6291,485409
0427,432942
6477,414484
9067,403716
8105,341587
1761,340242
0301,318423
6969,311796
1219,296838
5403,294270
2051,289790
7145,285877
0003,285340
5703,285283
7099,278319
7075,277717
2785,274294
5699,270821
5865,266159
9733,248466
7057,244240
5833,238752
0139,238468
5705,238018
5897,233092
7691,227653
7667,220560
4371,212192
6213,211541
6789,207839
9227,207275
8599,205885
3105,202869
8161,197584
7097,196431
8179,194955
0595,194030
3515,191754
5869,191507
5819,185455
4733,185283
0605,178938
8047,167331
6619,165995
0415,165908
5625,159890
7493,158980
7071,147344
6425,144353
6219,143466
9221,140900
6713,138102
2457,137727
0803,135549
7777,135098
8589,132077
6875,126193
7885,123453
2381,122531
0483,121315
8327,120033
4865,119423
5847,116432
8791,113774
8771,113772
9167,113761
4133,113403
8785,112628
3685,111948
7563,110868
5877,109986
0535,107606
8841,106824
6361,106537
5813,106043
1981,105450
7183,105323
6921,103374
1759,101551
6639,99393
3965,99222
8081,99168
5401,99167
2521,99140
0005,98649
6511,98011
2491,96760
9241,94587
5901,93381
8683,93159
7079,92801
9151,92740
6377,92216
6131,91867
1779,90955
7077,90000
3413,88234
8233,88233
7151,87343
9571,87294
6689,87172
6313,85990
5925,85874
2909,85549
9073,85455
6163,84971
7149,83242
4625,82541
8985,81859
6929,81795
8039,81745
4553,81593
8877,81171
2951,78793
7513,78681
2921,76896
6681,75509
0048,75428
5663,75356
7157,74510
4445,74374
1447,74086
6155,73782
5623,73776
7047,73623
6563,73593
8963,73070
6475,72599
6181,71900
5853,71801
8089,71044
0447,70857
3597,70733
6589,70587
1373,70500
2513,69889
5803,69656
3807,68340
5343,67920
5647,67001
7927,65020
7121,64651
8815,63755
0411,63280
5867,63104
5453,62949
7583,62606
0013,61761
6251,61519
8839,61284
5091,60153
5837,60151
6311,59786
6979,59354
1585,59170
5801,58942
1066,58805
8637,58285
5849,57957
5629,56813
9445,56464
7745,56410
0889,56332
2705,55849
8561,55791
5915,55783
8511,55437
6401,55081
8541,54833
1052,54787
5807,54609
7435,54558
1112,54482
3993,54297
0471,53935
6551,53837
0425,53232
5035,52782
0007,52421
3573,52361
5697,51840
3669,51444
3363,51186
6579,51020
6249,50896
9753,50717
8183,50586
7135,50497
9907,49951
4959,49707
5413,48938
8175,48931
7225,48607
0107,48600
5049,48595
9871,48594
0009,48565
5155,48488
8055,48460
5863,48345
6547,48326
0253,48164
7017,48103
9385,47942
6831,47424
3913,47397
4895,47159
3117,46130
1559,45811
8729,45511
5909,45472
9625,45240
7425,44605
8367,44549
6861,44224
9185,44216
6229,43618
9165,43363
6209,42826
9301,42395
8163,42192
9361,42138
7481,41866
8901,41791
6715,41721
0567,41666
9925,41439
9983,41411
0727,41379
5903,41111
0509,41040
1116,40599
1153,40377
7427,40087
5611,40076
7751,40048
8951,40044
1247,39908
2357,39838
8221,39650
7483,39514
7209,39454
9425,39355
5371,39097
7935,39022
3313,38997
6285,38959
5883,38860
6179,38744
6323,38413
0757,38269
6897,37600
0561,37206
9559,37044
8531,36792
4079,36783
8705,36540
8915,36224
5843,35970
7005,35826
0849,35791
6549,35760
6543,35624
6415,35492
0937,35475
7115,35357
4877,35269
6607,35235
8853,35228
9289,35212
9519,35175
3781,35167
5839,35093
7243,35079
7565,34697
6545,34688
6601,34603
6469,34576
7749,34239
4387,34238
8899,34000
2911,33809
7245,33779
4365,33756
4069,33725
4647,33378
6165,33142
7769,32930
4939,32884
7237,32689
4595,32662
4903,32543
8045,32478
7181,32380
8847,32275
2419,32255
3873,32188
9131,32067
7471,32037
8061,31936
8461,31928
0029,31903
8651,31876
1159,31809
7407,31806
8291,31704
0269,31698
8845,31484
0241,31482
0001,31432
7113,31273
6795,31266
9433,31159
9063,31155
6569,31041
6717,30838
0961,30703
6635,30556
5885,30481
5919,30432
0015,30274
4957,30087
4787,30071
0441,29902
5425,29900
8577,29893
5701,29788
4267,29770
3661,29684
4633,29611
0225,29575
0281,29397
8027,29363
8685,29162
1569,29121
0054,29082
7083,28806
2629,28800
6853,28751
6967,28712
9047,28691
4111,28480
6177,28391
6189,28208
8117,28124
0401,28065
6427,27897
3195,27863
6371,27834
8749,27813
6141,27779
3533,27749
8655,27683
5825,27546
6429,27523
1411,27507
1385,27484
6671,27460
0770,27364
0435,27259
7233,27175
4751,27100
9835,27015
9035,26837
8311,26790
0615,26727
4763,26385
2117,26338
5397,26260
5133,26141
0433,26069
9595,26066
8383,25744
8147,25620
8935,25414
6239,25376
8319,25299
9937,25227
9371,25188
6595,25114
4921,25091
6281,25069
0760,25057
3391,24805
2435,24771
1837,24617
5373,24452
5249,24389
0957,24336
6411,24326
7495,24295
6687,24290
4675,24231
0443,24189
6493,24056
1077,23991
9777,23944
6221,23773
4743,23718
0395,23687
5875,23588
3593,23582
1603,23532
8083,23433
1355,23390
3909,23358
3651,23272
6271,23032
7683,22947
0723,22936
5427,22847
9847,22821
5407,22818
8379,22814
0257,22812
2477,22789
3901,22768
7505,22652
0017,22600
8585,22541
4723,22403
2573,22398
0077,22327
4941,22261
6581,22221
8987,22196
4521,22138
6587,22064
6645,21959
6953,21946
8681,21941
3429,21941
6711,21929
5805,21829
1429,21800
2965,21782
4683,21720
2627,21528
6509,21505
0571,21496
6137,21436
8559,21433
8955,21399
4501,21334
8999,21289
6643,21235
6707,21040
6887,20992
8953,20984
8649,20958
0870,20939
4961,20900
9123,20894
6295,20889
9325,20846
3087,20826
6769,20817
0505,20752
0235,20749
8057,20706
6389,20634
8619,20614
0559,20594
7477,20593
0429,20562
2443,20532
4031,20460
2549,20453
8143,20450
6217,20415
0545,20314
4701,20300
8357,20207
1639,20173
9841,20168
8927,20105
7915,20100
8773,20096
3495,20080
4799,20047
9375,20032
0633,20006
7273,19952
7963,19941
8507,19913
1965,19889
2379,19887
3957,19833
7607,19808
2907,19784
6737,19729
6723,19675
8137,19633
6847,19593
9825,19528
6293,19516
4083,19494
0763,19457
9311,19447
2913,19381
7937,19371
1058,19327
1455,19263
8569,19242
9157,19224
0036,19220
8933,19192
1319,19184
0782,19150
4725,19023
9107,19010
0731,18983
8339,18971
6369,18943
9779,18908
6175,18907
5023,18871
9985,18871
6565,18737
5191,18709
8073,18705
6495,18705
7587,18699
5607,18663
6779,18643
2499,18640
5385,18635
2175,18592
6357,18586
3613,18561
4417,18546
6597,18385
2225,18346
9831,18310
5655,18302
8041,18274
0786,18256
1527,18165
6305,18146
7201,17979
8025,17971
9395,17965
1383,17920
1037,17803
7143,17727
0261,17713
7095,17685
8355,17560
6913,17532
9459,17513
8591,17506
1046,17477
3467,17439
4985,17397
5815,17388
9113,17372
5273,17369
9633,17365
6553,17337
7541,17323
7825,17292
7701,17250
5627,17202
6637,17187
5899,17091
1453,17059
3469,17052
0453,16985
5921,16899
6811,16864
3233,16860
7029,16833
6647,16800
1321,16781
6915,16755
6927,16754
8703,16735
0407,16734
5709,16724
8667,16707
5693,16690
3403,16674
2631,16661
2577,16635
0147,16622
8781,16595
2423,16582
4541,16580
8245,16545
7105,16495
9787,16438
7175,16428
8799,16427
