descricao_qualificacao_responsavel,count
Empresário,37027671
Sócio-Administrador,14198204
Candidato a cargo Político Eletivo,2473326
Presidente,1781067
Produtor Rural,600120
Administrador,441398
Titular Pessoa Física Residente ou Domiciliado no Brasil,326516
Síndico (Condomínio),295373
Sócio-Gerente,230045
Titular de Empresa Individual Imobiliária,215588
Procurador,122833
Responsável,119457
Diretor,70439
Administrador Judicial,16082
Inventariante,13291
Tabelião,11220
Oficial de Registro,7832
Liquidante,2869
Não informada,2622
Sócio Ostensivo,2242
,1645
Sócio Capitalista,1374
Fundador,457
Sócio Comanditado,444
Interventor,265
Cônsul,225
Diplomata,186
Representante de Organização Internacional,131
Responsável indígena,93
Cônsul Honorário,49
Ministro de Estado das Relações Exteriores,9
Representante da Instituição Extraterritorial,8
